id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2450;1962.2;10;53;0;335.32;71;56.9
452;03452;Aurich;2727;1437.6;20;47;0;211.83;116;61.2
101;03101;"Braunschweig, Stadt";4906;1967.1;45;147;0;2545.93;166;66.6
351;03351;Celle;3666;2047.9;15;58;1;236.39;168;93.8
453;03453;Cloppenburg;9076;5317.5;62;140;1;639;251;147.1
352;03352;Cuxhaven;3816;1926.9;22;158;1;185.34;136;68.7
401;03401;"Delmenhorst, Stadt";2663;3433.5;6;62;0;4264.21;69;89
251;03251;Diepholz;5315;2448.3;37;89;0;266.95;142;65.4
402;03402;"Emden, Stadt";775;1552.7;16;7;0;689.87;42;84.1
454;03454;Emsland;10278;3143.6;93;151;0;356.42;390;119.3
455;03455;Friesland;1333;1350.5;1;38;1;218.69;30;30.4
151;03151;Gifhorn;4755;2693.7;82;168;0;303.36;213;120.7
153;03153;Goslar;1973;1447.6;18;106;0;204.09;58;42.6
456;03456;"Grafschaft Bentheim";4192;3056.2;7;110;0;426.98;67;48.8
159;03159;Göttingen;6350;1947.6;49;223;3;361.74;179;54.9
252;03252;Hameln-Pyrmont;3466;2333.2;22;90;0;434.59;87;58.6
241;03241;"Hannover, Region";39299;3396.3;366;907;7;1710.79;1248;107.9
353;03353;Harburg;5484;2155.4;31;96;0;439.26;161;63.3
358;03358;Heidekreis;2624;1865.3;21;96;0;139.47;85;60.4
154;03154;Helmstedt;1943;2128.2;21;83;0;287.36;62;67.9
254;03254;Hildesheim;7259;2631.8;28;265;8;600.75;170;61.6
255;03255;Holzminden;1263;1792.6;7;56;0;181.92;35;49.7
457;03457;Leer;3406;1994.7;22;48;0;313.71;197;115.4
354;03354;Lüchow-Dannenberg;602;1243.5;14;23;0;49.06;24;49.6
355;03355;Lüneburg;2569;1395.1;33;44;0;193.48;93;50.5
256;03256;"Nienburg (Weser)";2992;2464.8;15;138;0;213.59;71;58.5
155;03155;Northeim;1801;1361.5;17;39;1;141.95;57;43.1
458;03458;Oldenburg;4099;3131.6;41;104;0;384.94;138;105.4
403;03403;"Oldenburg (Oldb), Stadt";3230;1910.4;37;42;0;3133.18;105;62.1
459;03459;Osnabrück;13056;3646.1;48;276;1;615.32;322;89.9
404;03404;"Osnabrück, Stadt";6000;3630.8;43;90;0;5008.35;195;118
356;03356;Osterholz;2195;1926.7;4;56;0;336.31;37;32.5
157;03157;Peine;4252;3154.3;34;94;0;792.54;129;95.7
357;03357;"Rotenburg (Wümme)";3066;1872;37;80;2;147.77;100;61.1
102;03102;"Salzgitter, Stadt";3730;3576.5;38;60;1;1661.54;200;191.8
257;03257;Schaumburg;3680;2331.8;38;59;1;544.66;139;88.1
359;03359;Stade;3790;1853.2;56;109;1;299.04;129;63.1
360;03360;Uelzen;1788;1935.3;35;105;0;122.25;82;88.8
460;03460;Vechta;6756;4730.6;35;80;0;829.77;210;147
361;03361;Verden;3127;2280.3;57;49;0;396.16;137;99.9
461;03461;Wesermarsch;2725;3076.2;35;95;0;330.39;96;108.4
405;03405;"Wilhelmshaven, Stadt";1531;2012.1;13;44;0;1429.91;34;44.7
462;03462;Wittmund;991;1740.9;4;32;0;150.87;39;68.5
158;03158;Wolfenbüttel;2157;1803.2;30;88;0;297.8;116;97
103;03103;"Wolfsburg, Stadt";2723;2189.4;56;75;1;1330.82;187;150.4
