id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2541;2035.1;21;55;0;347.78;103;82.5
452;03452;Aurich;2847;1500.8;0;48;0;221.15;143;75.4
101;03101;"Braunschweig, Stadt";5079;2036.4;9;152;0;2635.7;222;89
351;03351;Celle;3813;2130;0;58;0;245.87;191;106.7
453;03453;Cloppenburg;9389;5500.9;47;142;0;661.03;378;221.5
352;03352;Cuxhaven;3961;2000.1;12;159;0;192.38;202;102
401;03401;"Delmenhorst, Stadt";2723;3510.9;-1;62;0;4360.29;78;100.6
251;03251;Diepholz;5456;2513.3;41;89;0;274.03;205;94.4
402;03402;"Emden, Stadt";800;1602.8;0;7;0;712.12;41;82.1
454;03454;Emsland;10656;3259.2;45;153;0;369.53;500;152.9
455;03455;Friesland;1377;1395.1;33;38;0;225.91;46;46.6
151;03151;Gifhorn;4940;2798.5;1;168;0;315.16;270;153
153;03153;Goslar;2024;1485;0;107;0;209.37;82;60.2
456;03456;"Grafschaft Bentheim";4306;3139.4;13;110;0;438.59;131;95.5
159;03159;Göttingen;6477;1986.6;0;226;0;368.97;199;61
252;03252;Hameln-Pyrmont;3549;2389.1;14;92;0;444.99;127;85.5
241;03241;"Hannover, Region";40115;3466.8;112;909;0;1746.31;1367;118.1
353;03353;Harburg;5593;2198.2;5;97;0;448;170;66.8
358;03358;Heidekreis;2736;1944.9;0;97;0;145.42;144;102.4
154;03154;Helmstedt;1992;2181.9;4;83;0;294.61;83;90.9
254;03254;Hildesheim;7383;2676.8;10;267;0;611.01;197;71.4
255;03255;Holzminden;1282;1819.5;6;56;0;184.65;31;44
457;03457;Leer;3571;2091.3;3;48;0;328.91;215;125.9
354;03354;Lüchow-Dannenberg;621;1282.7;0;23;0;50.6;33;68.2
355;03355;Lüneburg;2680;1455.4;13;44;0;201.84;147;79.8
256;03256;"Nienburg (Weser)";3064;2524.1;2;138;0;218.73;88;72.5
155;03155;Northeim;1846;1395.5;0;40;0;145.5;72;54.4
458;03458;Oldenburg;4221;3224.8;8;106;0;396.4;167;127.6
403;03403;"Oldenburg (Oldb), Stadt";3377;1997.3;5;42;0;3275.78;196;115.9
459;03459;Osnabrück;13259;3702.8;22;279;0;624.89;298;83.2
404;03404;"Osnabrück, Stadt";6125;3706.5;17;91;0;5112.69;212;128.3
356;03356;Osterholz;2238;1964.4;0;56;0;342.9;56;49.2
157;03157;Peine;4390;3256.7;1;96;0;818.27;187;138.7
357;03357;"Rotenburg (Wümme)";3119;1904.4;19;80;0;150.33;91;55.6
102;03102;"Salzgitter, Stadt";3945;3782.7;55;60;0;1757.32;291;279
257;03257;Schaumburg;3799;2407.2;35;61;0;562.27;171;108.4
359;03359;Stade;3958;1935.3;0;109;0;312.3;229;112
360;03360;Uelzen;1868;2021.9;1;105;0;127.72;118;127.7
460;03460;Vechta;7016;4912.7;10;80;1;861.7;314;219.9
361;03361;Verden;3224;2351;0;49;0;408.45;179;130.5
461;03461;Wesermarsch;2788;3147.3;11;96;0;338.03;111;125.3
405;03405;"Wilhelmshaven, Stadt";1566;2058.1;1;44;0;1462.59;43;56.5
462;03462;Wittmund;1032;1812.9;0;32;0;157.11;47;82.6
158;03158;Wolfenbüttel;2243;1875.1;25;89;0;309.68;110;92
103;03103;"Wolfsburg, Stadt";2871;2308.4;21;75;0;1403.16;237;190.6
