id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2552;2043.9;11;55;0;349.28;114;91.3
452;03452;Aurich;2852;1503.5;5;48;0;221.54;144;75.9
101;03101;"Braunschweig, Stadt";5094;2042.5;15;155;3;2643.49;222;89
351;03351;Celle;3831;2140.1;18;59;1;247.03;207;115.6
453;03453;Cloppenburg;9398;5506.1;9;142;0;661.67;390;228.5
352;03352;Cuxhaven;3965;2002.1;4;159;0;192.57;204;103
401;03401;"Delmenhorst, Stadt";2734;3525.1;11;62;0;4377.9;89;114.8
251;03251;Diepholz;5504;2535.4;48;89;0;276.44;251;115.6
402;03402;"Emden, Stadt";805;1612.8;5;7;0;716.57;46;92.2
454;03454;Emsland;10685;3268;29;156;3;370.54;493;150.8
455;03455;Friesland;1389;1407.2;12;39;1;227.88;58;58.8
151;03151;Gifhorn;4945;2801.3;5;168;0;315.48;273;154.7
153;03153;Goslar;2028;1488;4;107;0;209.78;83;60.9
456;03456;"Grafschaft Bentheim";4321;3150.3;15;110;0;440.11;138;100.6
159;03159;Göttingen;6528;2002.2;51;228;2;371.88;231;70.8
252;03252;Hameln-Pyrmont;3558;2395.2;9;92;0;446.12;135;90.9
241;03241;"Hannover, Region";40199;3474.1;84;924;15;1749.97;1386;119.8
353;03353;Harburg;5596;2199.4;3;98;1;448.24;154;60.5
358;03358;Heidekreis;2748;1953.5;12;97;0;146.06;153;108.8
154;03154;Helmstedt;1998;2188.5;6;84;1;295.5;81;88.7
254;03254;Hildesheim;7399;2682.6;16;267;0;612.33;191;69.2
255;03255;Holzminden;1288;1828;6;56;0;185.52;36;51.1
457;03457;Leer;3577;2094.8;6;48;0;329.46;208;121.8
354;03354;Lüchow-Dannenberg;620;1280.7;-1;23;0;50.52;32;66.1
355;03355;Lüneburg;2682;1456.5;2;44;0;201.99;146;79.3
256;03256;"Nienburg (Weser)";3065;2524.9;1;138;0;218.8;89;73.3
155;03155;Northeim;1849;1397.7;3;40;0;145.73;67;50.6
458;03458;Oldenburg;4235;3235.5;14;106;0;397.71;171;130.6
403;03403;"Oldenburg (Oldb), Stadt";3380;1999.1;3;42;0;3278.69;196;115.9
459;03459;Osnabrück;13326;3721.5;67;279;0;628.05;334;93.3
404;03404;"Osnabrück, Stadt";6175;3736.7;50;91;0;5154.42;231;139.8
356;03356;Osterholz;2252;1976.7;14;56;0;345.04;65;57.1
157;03157;Peine;4391;3257.4;1;96;0;818.45;188;139.5
357;03357;"Rotenburg (Wümme)";3147;1921.5;28;80;0;151.68;108;65.9
102;03102;"Salzgitter, Stadt";3945;3782.7;0;60;0;1757.32;277;265.6
257;03257;Schaumburg;3802;2409.1;3;61;0;562.72;169;107.1
359;03359;Stade;3963;1937.8;5;109;0;312.69;233;113.9
360;03360;Uelzen;1868;2021.9;0;106;1;127.72;117;126.6
460;03460;Vechta;7023;4917.6;7;80;0;862.56;321;224.8
361;03361;Verden;3229;2354.6;5;49;0;409.08;170;124
461;03461;Wesermarsch;2790;3149.6;2;96;0;338.27;112;126.4
405;03405;"Wilhelmshaven, Stadt";1569;2062.1;3;45;1;1465.4;45;59.1
462;03462;Wittmund;1032;1812.9;0;32;0;157.11;47;82.6
158;03158;Wolfenbüttel;2246;1877.6;3;89;0;310.09;130;108.7
103;03103;"Wolfsburg, Stadt";2892;2325.3;21;75;0;1413.42;250;201
