id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2440;1954.2;2;53;0;333.95;84;67.3
452;03452;Aurich;2707;1427;2;47;1;210.28;137;72.2
101;03101;"Braunschweig, Stadt";4861;1949;2;147;0;2522.57;181;72.6
351;03351;Celle;3651;2039.5;28;57;2;235.42;199;111.2
453;03453;Cloppenburg;9014;5281.2;28;139;1;634.63;281;164.6
352;03352;Cuxhaven;3794;1915.8;33;157;1;184.27;151;76.2
401;03401;"Delmenhorst, Stadt";2657;3425.8;11;62;1;4254.6;89;114.8
251;03251;Diepholz;5278;2431.3;33;89;0;265.09;146;67.3
402;03402;"Emden, Stadt";759;1520.6;0;7;0;675.63;32;64.1
454;03454;Emsland;10185;3115.1;63;151;0;353.2;363;111
455;03455;Friesland;1332;1349.5;1;37;0;218.53;37;37.5
151;03151;Gifhorn;4673;2647.2;6;168;1;298.13;199;112.7
153;03153;Goslar;1955;1434.4;14;106;0;202.23;58;42.6
456;03456;"Grafschaft Bentheim";4185;3051.1;2;110;0;426.26;89;64.9
159;03159;Göttingen;6301;1932.6;16;220;0;358.95;198;60.7
252;03252;Hameln-Pyrmont;3444;2318.4;16;90;1;431.83;86;57.9
241;03241;"Hannover, Region";38933;3364.7;135;900;12;1694.85;1312;113.4
353;03353;Harburg;5453;2143.2;3;96;1;436.78;169;66.4
358;03358;Heidekreis;2603;1850.4;23;96;0;138.35;88;62.6
154;03154;Helmstedt;1922;2105.2;5;83;0;284.26;76;83.2
254;03254;Hildesheim;7231;2621.7;25;257;3;598.43;194;70.3
255;03255;Holzminden;1256;1782.6;10;56;0;180.91;46;65.3
457;03457;Leer;3384;1981.8;15;48;0;311.68;239;140
354;03354;Lüchow-Dannenberg;588;1214.6;0;23;0;47.92;19;39.2
355;03355;Lüneburg;2536;1377.2;2;44;0;190.99;107;58.1
256;03256;"Nienburg (Weser)";2977;2452.4;1;138;0;212.52;76;62.6
155;03155;Northeim;1784;1348.6;2;38;0;140.61;50;37.8
458;03458;Oldenburg;4058;3100.3;47;104;0;381.09;134;102.4
403;03403;"Oldenburg (Oldb), Stadt";3193;1888.5;10;42;0;3097.29;100;59.1
459;03459;Osnabrück;13008;3632.7;67;275;2;613.06;330;92.2
404;03404;"Osnabrück, Stadt";5957;3604.8;60;90;1;4972.45;179;108.3
356;03356;Osterholz;2191;1923.1;4;56;1;335.7;44;38.6
157;03157;Peine;4218;3129.1;8;94;0;786.21;147;109
357;03357;"Rotenburg (Wümme)";3029;1849.4;3;78;0;145.99;98;59.8
102;03102;"Salzgitter, Stadt";3692;3540.1;25;59;1;1644.62;214;205.2
257;03257;Schaumburg;3642;2307.7;9;58;3;539.04;166;105.2
359;03359;Stade;3734;1825.8;2;108;1;294.62;115;56.2
360;03360;Uelzen;1753;1897.4;2;105;1;119.86;63;68.2
460;03460;Vechta;6721;4706.1;21;80;0;825.47;227;158.9
361;03361;Verden;3070;2238.7;11;49;1;388.94;106;77.3
461;03461;Wesermarsch;2690;3036.7;14;95;0;326.15;75;84.7
405;03405;"Wilhelmshaven, Stadt";1518;1995;3;44;0;1417.76;29;38.1
462;03462;Wittmund;987;1733.8;3;32;0;150.26;42;73.8
158;03158;Wolfenbüttel;2127;1778.1;9;88;1;293.66;129;107.8
103;03103;"Wolfsburg, Stadt";2667;2144.4;24;74;1;1303.46;202;162.4
