id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2379;1905.3;23;53;0;325.6;124;99.3
452;03452;Aurich;2587;1363.8;38;46;0;200.96;136;71.7
101;03101;"Braunschweig, Stadt";4735;1898.5;61;144;1;2457.19;256;102.6
351;03351;Celle;3498;1954.1;45;55;0;225.56;245;136.9
453;03453;Cloppenburg;8758;5131.2;121;138;0;616.61;353;206.8
352;03352;Cuxhaven;3680;1858.2;56;156;19;178.73;154;77.8
401;03401;"Delmenhorst, Stadt";2594;3344.6;26;60;0;4153.72;106;136.7
251;03251;Diepholz;5174;2383.4;45;89;0;259.87;207;95.4
402;03402;"Emden, Stadt";733;1468.6;8;7;0;652.48;48;96.2
454;03454;Emsland;9788;2993.7;87;151;0;339.43;592;181.1
455;03455;Friesland;1296;1313;6;36;0;212.62;49;49.6
151;03151;Gifhorn;4535;2569.1;72;167;0;289.32;335;189.8
153;03153;Goslar;1913;1403.6;19;106;4;197.89;74;54.3
456;03456;"Grafschaft Bentheim";4125;3007.4;29;108;1;420.15;109;79.5
159;03159;Göttingen;6161;1889.6;72;219;1;350.97;287;88
252;03252;Hameln-Pyrmont;3379;2274.7;23;88;0;423.68;142;95.6
241;03241;"Hannover, Region";37979;3282.2;372;887;2;1653.32;1699;146.8
353;03353;Harburg;5331;2095.3;47;94;1;427.01;261;102.6
358;03358;Heidekreis;2519;1790.7;29;95;0;133.89;98;69.7
154;03154;Helmstedt;1879;2058.1;28;83;0;277.9;95;104.1
254;03254;Hildesheim;6940;2516.2;-96;252;0;574.35;158;57.3
255;03255;Holzminden;1223;1735.8;11;56;0;176.16;59;83.7
457;03457;Leer;3209;1879.3;64;47;0;295.56;319;186.8
354;03354;Lüchow-Dannenberg;578;1193.9;9;21;0;47.1;28;57.8
355;03355;Lüneburg;2443;1326.7;28;43;0;183.99;123;66.8
256;03256;"Nienburg (Weser)";2921;2406.3;20;138;0;208.52;72;59.3
155;03155;Northeim;1745;1319.1;14;38;1;137.54;53;40.1
458;03458;Oldenburg;3943;3012.5;43;104;0;370.29;239;182.6
403;03403;"Oldenburg (Oldb), Stadt";3116;1842.9;44;40;0;3022.6;162;95.8
459;03459;Osnabrück;12710;3549.5;49;270;0;599.02;476;132.9
404;03404;"Osnabrück, Stadt";5791;3504.4;24;88;0;4833.89;284;171.9
356;03356;Osterholz;2153;1889.8;13;54;0;329.88;75;65.8
157;03157;Peine;4126;3060.8;54;93;0;769.06;236;175.1
357;03357;"Rotenburg (Wümme)";2942;1796.3;30;77;0;141.8;127;77.5
102;03102;"Salzgitter, Stadt";3530;3384.8;52;57;0;1572.45;289;277.1
257;03257;Schaumburg;3539;2242.4;65;55;0;523.79;199;126.1
359;03359;Stade;3641;1780.3;42;107;1;287.29;140;68.5
360;03360;Uelzen;1706;1846.5;16;103;0;116.64;97;105
460;03460;Vechta;6545;4582.9;49;78;0;803.86;209;146.3
361;03361;Verden;2986;2177.4;22;48;0;378.3;109;79.5
461;03461;Wesermarsch;2630;2969;22;95;0;318.87;160;180.6
405;03405;"Wilhelmshaven, Stadt";1488;1955.6;16;42;0;1389.75;57;74.9
462;03462;Wittmund;952;1672.3;7;31;0;144.93;37;65
158;03158;Wolfenbüttel;2032;1698.7;29;87;0;280.55;109;91.1
103;03103;"Wolfsburg, Stadt";2562;2060;55;73;0;1252.14;195;156.8
