id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2438;1952.6;0;53;0;333.68;91;72.9
452;03452;Aurich;2705;1426;3;46;0;210.12;163;85.9
101;03101;"Braunschweig, Stadt";4859;1948.2;8;147;2;2521.54;213;85.4
351;03351;Celle;3623;2023.9;2;55;0;233.62;184;102.8
453;03453;Cloppenburg;8986;5264.8;0;138;0;632.66;312;182.8
352;03352;Cuxhaven;3761;1899.1;1;156;0;182.67;135;68.2
401;03401;"Delmenhorst, Stadt";2646;3411.6;0;61;0;4236.99;85;109.6
251;03251;Diepholz;5245;2416.1;30;89;0;263.43;144;66.3
402;03402;"Emden, Stadt";759;1520.6;0;7;0;675.63;38;76.1
454;03454;Emsland;10122;3095.8;0;151;0;351.01;437;133.7
455;03455;Friesland;1331;1348.5;1;37;0;218.36;40;40.5
151;03151;Gifhorn;4667;2643.8;1;167;0;297.74;250;141.6
153;03153;Goslar;1941;1424.1;3;106;0;200.78;61;44.8
456;03456;"Grafschaft Bentheim";4183;3049.7;8;110;0;426.06;92;67.1
159;03159;Göttingen;6285;1927.7;11;220;0;358.04;215;65.9
252;03252;Hameln-Pyrmont;3428;2307.7;5;89;0;429.82;95;64
241;03241;"Hannover, Region";38798;3353;48;888;0;1688.98;1343;116.1
353;03353;Harburg;5450;2142;19;95;0;436.54;204;80.2
358;03358;Heidekreis;2580;1834;0;96;0;137.13;102;72.5
154;03154;Helmstedt;1917;2099.7;11;83;0;283.52;86;94.2
254;03254;Hildesheim;7206;2612.6;19;254;0;596.36;213;77.2
255;03255;Holzminden;1246;1768.4;1;56;0;179.47;50;71
457;03457;Leer;3369;1973;13;48;0;310.3;253;148.2
354;03354;Lüchow-Dannenberg;588;1214.6;0;23;0;47.92;20;41.3
355;03355;Lüneburg;2534;1376.1;1;44;0;190.84;146;79.3
256;03256;"Nienburg (Weser)";2976;2451.6;0;138;0;212.45;90;74.1
155;03155;Northeim;1782;1347.1;16;38;0;140.45;60;45.4
458;03458;Oldenburg;4011;3064.4;1;104;0;376.68;130;99.3
403;03403;"Oldenburg (Oldb), Stadt";3183;1882.6;1;42;0;3087.59;118;69.8
459;03459;Osnabrück;12941;3614;0;273;0;609.9;319;89.1
404;03404;"Osnabrück, Stadt";5897;3568.5;0;89;0;4922.37;164;99.2
356;03356;Osterholz;2187;1919.6;3;55;1;335.09;61;53.5
157;03157;Peine;4210;3123.1;0;94;0;784.72;193;143.2
357;03357;"Rotenburg (Wümme)";3026;1847.6;12;78;0;145.85;131;80
102;03102;"Salzgitter, Stadt";3667;3516.1;13;58;1;1633.48;267;256
257;03257;Schaumburg;3633;2302;5;55;0;537.7;180;114.1
359;03359;Stade;3732;1824.8;6;107;0;294.47;155;75.8
360;03360;Uelzen;1751;1895.2;1;104;0;119.72;91;98.5
460;03460;Vechta;6700;4691.4;0;80;0;822.89;232;162.4
361;03361;Verden;3059;2230.7;14;48;0;387.54;113;82.4
461;03461;Wesermarsch;2676;3020.9;2;95;0;324.45;81;91.4
405;03405;"Wilhelmshaven, Stadt";1515;1991.1;2;44;1;1414.96;43;56.5
462;03462;Wittmund;984;1728.6;0;32;0;149.8;42;73.8
158;03158;Wolfenbüttel;2118;1770.6;9;87;0;292.42;132;110.3
103;03103;"Wolfsburg, Stadt";2643;2125.1;17;73;0;1291.73;218;175.3
