id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2648;2120.8;25;55;0;362.42;152;121.7
452;03452;Aurich;2968;1564.6;22;48;0;230.55;119;62.7
101;03101;"Braunschweig, Stadt";5311;2129.5;59;159;0;2756.1;281;112.7
351;03351;Celle;3999;2233.9;54;60;0;257.86;221;123.5
453;03453;Cloppenburg;9642;5649.1;52;145;0;678.85;349;204.5
352;03352;Cuxhaven;4097;2068.8;45;161;0;198.98;179;90.4
401;03401;"Delmenhorst, Stadt";2843;3665.6;30;62;0;4552.44;136;175.4
251;03251;Diepholz;5631;2593.9;0;89;0;282.82;205;94.4
402;03402;"Emden, Stadt";864;1731;2;7;0;769.09;69;138.2
454;03454;Emsland;11067;3384.9;77;161;0;383.78;459;140.4
455;03455;Friesland;1421;1439.7;11;40;0;233.13;69;69.9
151;03151;Gifhorn;5086;2881.2;-1;169;0;324.48;207;117.3
153;03153;Goslar;2139;1569.4;18;107;0;221.26;131;96.1
456;03456;"Grafschaft Bentheim";4444;3240;42;110;0;452.64;178;129.8
159;03159;Göttingen;6760;2073.4;58;234;0;385.1;285;87.4
252;03252;Hameln-Pyrmont;3677;2475.3;37;92;0;461.04;162;109.1
241;03241;"Hannover, Region";41461;3583.1;286;934;1;1804.9;1693;146.3
353;03353;Harburg;5763;2265.1;40;101;0;461.61;217;85.3
358;03358;Heidekreis;2870;2040.2;41;97;0;152.54;142;100.9
154;03154;Helmstedt;2083;2281.6;13;87;0;308.07;101;110.6
254;03254;Hildesheim;7593;2752.9;54;267;0;628.39;259;93.9
255;03255;Holzminden;1338;1899;8;56;0;192.72;63;89.4
457;03457;Leer;3784;2216;32;49;0;348.52;265;155.2
354;03354;Lüchow-Dannenberg;643;1328.2;0;23;0;52.4;26;53.7
355;03355;Lüneburg;2825;1534.2;30;51;0;212.76;164;89.1
256;03256;"Nienburg (Weser)";3156;2599.9;12;141;0;225.3;123;101.3
155;03155;Northeim;1913;1446.1;19;40;0;150.78;86;65
458;03458;Oldenburg;4353;3325.7;23;110;0;408.79;141;107.7
403;03403;"Oldenburg (Oldb), Stadt";3499;2069.5;21;44;1;3394.12;185;109.4
459;03459;Osnabrück;13654;3813.1;95;281;1;643.51;436;121.8
404;03404;"Osnabrück, Stadt";6367;3852.9;50;91;0;5314.69;267;161.6
356;03356;Osterholz;2333;2047.8;21;56;0;357.45;105;92.2
157;03157;Peine;4583;3399.8;34;96;0;854.24;231;171.4
357;03357;"Rotenburg (Wümme)";3242;1979.5;16;80;0;156.26;111;67.8
102;03102;"Salzgitter, Stadt";4224;4050.2;58;62;0;1881.6;398;381.6
257;03257;Schaumburg;3973;2517.4;37;62;0;588.03;218;138.1
359;03359;Stade;4151;2029.7;41;109;0;327.53;207;101.2
360;03360;Uelzen;1952;2112.8;20;106;0;133.46;101;109.3
460;03460;Vechta;7357;5151.5;76;81;0;903.59;440;308.1
361;03361;Verden;3352;2444.3;19;50;0;424.66;172;125.4
461;03461;Wesermarsch;2891;3263.6;10;102;1;350.52;111;125.3
405;03405;"Wilhelmshaven, Stadt";1638;2152.7;27;45;0;1529.84;66;86.7
462;03462;Wittmund;1090;1914.8;11;32;0;165.94;75;131.7
158;03158;Wolfenbüttel;2354;1967.9;22;91;1;325;136;113.7
103;03103;"Wolfsburg, Stadt";3057;2458;36;77;0;1494.06;215;172.9
