id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2433;1948.6;31;53;0;333;123;98.5
452;03452;Aurich;2676;1410.7;2;46;0;207.87;154;81.2
101;03101;"Braunschweig, Stadt";4842;1941.4;22;145;0;2512.71;232;93
351;03351;Celle;3620;2022.2;47;55;0;233.42;213;119
453;03453;Cloppenburg;8986;5264.8;74;138;0;632.66;413;242
352;03352;Cuxhaven;3754;1895.6;6;156;0;182.33;139;70.2
401;03401;"Delmenhorst, Stadt";2631;3392.3;0;60;0;4212.97;87;112.2
251;03251;Diepholz;5214;2401.8;0;89;0;261.88;146;67.3
402;03402;"Emden, Stadt";759;1520.6;7;7;0;675.63;38;76.1
454;03454;Emsland;10062;3077.5;123;151;0;348.93;482;147.4
455;03455;Friesland;1327;1344.4;17;37;0;217.71;48;48.6
151;03151;Gifhorn;4656;2637.6;10;167;0;297.04;258;146.2
153;03153;Goslar;1938;1421.9;5;106;0;200.47;72;52.8
456;03456;"Grafschaft Bentheim";4170;3040.2;7;110;0;424.73;83;60.5
159;03159;Göttingen;6243;1914.8;25;220;0;355.64;230;70.5
252;03252;Hameln-Pyrmont;3414;2298.2;14;88;0;428.07;102;68.7
241;03241;"Hannover, Region";38612;3336.9;85;888;0;1680.88;1371;118.5
353;03353;Harburg;5427;2133;14;95;0;434.7;195;76.6
358;03358;Heidekreis;2574;1829.8;34;96;0;136.81;105;74.6
154;03154;Helmstedt;1906;2087.7;0;83;0;281.89;84;92
254;03254;Hildesheim;7176;2601.7;9;254;1;593.88;206;74.7
255;03255;Holzminden;1243;1764.2;0;56;0;179.04;48;68.1
457;03457;Leer;3317;1942.5;4;48;1;305.51;230;134.7
354;03354;Lüchow-Dannenberg;588;1214.6;2;23;0;47.92;21;43.4
355;03355;Lüneburg;2519;1368;32;44;0;189.71;140;76
256;03256;"Nienburg (Weser)";2972;2448.3;7;138;0;212.16;95;78.3
155;03155;Northeim;1766;1335;5;38;0;139.19;46;34.8
458;03458;Oldenburg;4003;3058.3;2;104;0;375.93;163;124.5
403;03403;"Oldenburg (Oldb), Stadt";3175;1877.8;8;41;1;3079.83;133;78.7
459;03459;Osnabrück;12885;3598.4;31;273;0;607.26;393;109.8
404;03404;"Osnabrück, Stadt";5880;3558.2;16;89;0;4908.18;215;130.1
356;03356;Osterholz;2184;1917;14;54;0;334.63;66;57.9
157;03157;Peine;4208;3121.6;12;94;0;784.34;204;151.3
357;03357;"Rotenburg (Wümme)";3014;1840.3;37;78;1;145.27;125;76.3
102;03102;"Salzgitter, Stadt";3636;3486.4;30;57;0;1619.67;274;262.7
257;03257;Schaumburg;3609;2286.8;5;55;0;534.15;177;112.2
359;03359;Stade;3726;1821.9;18;107;0;293.99;163;79.7
360;03360;Uelzen;1748;1892;14;104;0;119.51;89;96.3
460;03460;Vechta;6671;4671.1;5;80;0;819.33;234;163.8
361;03361;Verden;3043;2219;7;48;0;385.52;100;72.9
461;03461;Wesermarsch;2671;3015.3;41;95;0;323.84;83;93.7
405;03405;"Wilhelmshaven, Stadt";1509;1983.2;4;43;0;1409.36;47;61.8
462;03462;Wittmund;984;1728.6;10;32;1;149.8;45;79
158;03158;Wolfenbüttel;2090;1747.2;17;87;0;288.55;140;117
103;03103;"Wolfsburg, Stadt";2626;2111.4;64;73;0;1283.42;207;166.4
