id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2686;2151.2;13;56;1;367.62;134;107.3
452;03452;Aurich;2994;1578.3;1;48;0;232.57;135;71.2
101;03101;"Braunschweig, Stadt";5382;2157.9;10;160;0;2792.94;276;110.7
351;03351;Celle;4041;2257.4;14;60;0;260.57;210;117.3
453;03453;Cloppenburg;9729;5700.1;-2;146;0;684.97;303;177.5
352;03352;Cuxhaven;4119;2079.9;5;161;0;200.05;156;78.8
401;03401;"Delmenhorst, Stadt";2894;3731.4;25;62;0;4634.11;160;206.3
251;03251;Diepholz;5741;2644.5;28;89;0;288.35;235;108.3
402;03402;"Emden, Stadt";873;1749;0;7;0;777.11;68;136.2
454;03454;Emsland;11210;3428.6;18;166;5;388.74;516;157.8
455;03455;Friesland;1456;1475.1;15;40;0;238.87;62;62.8
151;03151;Gifhorn;5174;2931.1;11;172;3;330.09;222;125.8
153;03153;Goslar;2176;1596.6;10;107;0;225.09;138;101.3
456;03456;"Grafschaft Bentheim";4499;3280.1;5;111;1;458.24;178;129.8
159;03159;Göttingen;6807;2087.8;27;233;-1;387.77;264;81
252;03252;Hameln-Pyrmont;3720;2504.2;16;94;1;466.43;157;105.7
241;03241;"Hannover, Region";41902;3621.2;81;936;1;1824.1;1668;144.2
353;03353;Harburg;5802;2280.4;3;102;0;464.74;207;81.4
358;03358;Heidekreis;2913;2070.8;10;97;0;154.83;160;113.7
154;03154;Helmstedt;2101;2301.3;-1;87;0;310.73;102;111.7
254;03254;Hildesheim;7697;2790.6;35;267;0;636.99;280;101.5
255;03255;Holzminden;1350;1916;8;56;0;194.45;64;90.8
457;03457;Leer;3814;2233.6;1;49;0;351.29;237;138.8
354;03354;Lüchow-Dannenberg;652;1346.8;0;23;0;53.13;30;62
355;03355;Lüneburg;2854;1549.9;1;52;1;214.94;159;86.3
256;03256;"Nienburg (Weser)";3207;2641.9;7;141;0;228.94;142;117
155;03155;Northeim;1954;1477.1;24;40;0;154.01;104;78.6
458;03458;Oldenburg;4405;3365.4;13;108;-2;413.68;144;110
403;03403;"Oldenburg (Oldb), Stadt";3575;2114.4;4;44;0;3467.84;190;112.4
459;03459;Osnabrück;13803;3854.7;81;282;0;650.53;461;128.7
404;03404;"Osnabrück, Stadt";6474;3917.7;49;91;0;5404.01;290;175.5
356;03356;Osterholz;2357;2068.9;6;57;0;361.13;102;89.5
157;03157;Peine;4661;3457.7;4;96;0;868.78;270;200.3
357;03357;"Rotenburg (Wümme)";3300;2014.9;16;80;0;159.05;150;91.6
102;03102;"Salzgitter, Stadt";4320;4142.3;48;62;0;1924.36;331;317.4
257;03257;Schaumburg;4021;2547.8;4;62;0;595.13;219;138.8
359;03359;Stade;4215;2061;5;109;0;332.58;222;108.6
360;03360;Uelzen;1975;2137.7;1;106;0;135.03;108;116.9
460;03460;Vechta;7473;5232.7;16;81;0;917.83;448;313.7
361;03361;Verden;3378;2463.3;3;50;0;427.96;149;108.7
461;03461;Wesermarsch;2900;3273.8;1;102;0;351.61;106;119.7
405;03405;"Wilhelmshaven, Stadt";1645;2161.9;2;46;1;1536.38;55;72.3
462;03462;Wittmund;1101;1934.1;1;32;0;167.62;68;119.5
158;03158;Wolfenbüttel;2386;1994.6;2;91;0;329.42;139;116.2
103;03103;"Wolfsburg, Stadt";3109;2499.8;29;78;1;1519.48;218;175.3
