id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2582;2067.9;21;55;0;353.39;132;105.7
452;03452;Aurich;2912;1535.1;36;48;0;226.2;152;80.1
101;03101;"Braunschweig, Stadt";5187;2079.7;55;159;2;2691.75;263;105.5
351;03351;Celle;3907;2182.5;45;60;1;251.93;241;134.6
453;03453;Cloppenburg;9502;5567.1;76;144;1;668.99;356;208.6
352;03352;Cuxhaven;4032;2036;39;161;0;195.83;209;105.5
401;03401;"Delmenhorst, Stadt";2776;3579.2;34;62;0;4445.16;114;147
251;03251;Diepholz;5588;2574.1;55;89;0;280.66;252;116.1
402;03402;"Emden, Stadt";844;1690.9;16;7;0;751.29;69;138.2
454;03454;Emsland;10900;3333.8;123;160;1;377.99;516;157.8
455;03455;Friesland;1404;1422.4;8;40;0;230.34;58;58.8
151;03151;Gifhorn;5054;2863.1;43;169;1;322.43;289;163.7
153;03153;Goslar;2090;1533.5;16;107;0;216.19;117;85.8
456;03456;"Grafschaft Bentheim";4368;3184.6;23;110;0;444.9;176;128.3
159;03159;Göttingen;6636;2035.3;52;232;3;378.03;274;84
252;03252;Hameln-Pyrmont;3613;2432.2;27;92;0;453.02;146;98.3
241;03241;"Hannover, Region";40918;3536.2;384;932;1;1781.27;1583;136.8
353;03353;Harburg;5684;2234;54;100;2;455.28;201;79
358;03358;Heidekreis;2799;1989.7;37;97;0;148.77;140;99.5
154;03154;Helmstedt;2047;2242.1;20;87;0;302.74;100;109.5
254;03254;Hildesheim;7498;2718.5;62;267;0;620.53;237;85.9
255;03255;Holzminden;1319;1872;21;56;0;189.98;61;86.6
457;03457;Leer;3690;2161;57;49;1;339.87;284;166.3
354;03354;Lüchow-Dannenberg;640;1322;6;23;0;52.15;38;78.5
355;03355;Lüneburg;2762;1500;40;51;3;208.01;166;90.1
256;03256;"Nienburg (Weser)";3115;2566.1;33;141;0;222.37;123;101.3
155;03155;Northeim;1882;1422.7;18;40;0;148.33;80;60.5
458;03458;Oldenburg;4314;3295.9;36;110;2;405.13;173;132.2
403;03403;"Oldenburg (Oldb), Stadt";3452;2041.7;49;43;1;3348.53;210;124.2
459;03459;Osnabrück;13480;3764.5;100;280;0;635.31;413;115.3
404;03404;"Osnabrück, Stadt";6265;3791.2;57;91;0;5229.55;255;154.3
356;03356;Osterholz;2292;2011.8;25;56;0;351.17;88;77.2
157;03157;Peine;4505;3342;51;96;0;839.7;253;187.7
357;03357;"Rotenburg (Wümme)";3165;1932.4;0;80;0;152.55;78;47.6
102;03102;"Salzgitter, Stadt";4097;3928.4;66;62;0;1825.03;366;350.9
257;03257;Schaumburg;3867;2450.3;37;62;1;572.34;188;119.1
359;03359;Stade;4069;1989.6;54;109;0;321.06;233;113.9
360;03360;Uelzen;1912;2069.5;33;106;0;130.73;124;134.2
460;03460;Vechta;7211;5049.2;115;81;1;885.65;452;316.5
361;03361;Verden;3303;2408.6;43;49;0;418.46;177;129.1
461;03461;Wesermarsch;2859;3227.5;25;100;4;346.64;131;147.9
405;03405;"Wilhelmshaven, Stadt";1606;2110.7;23;45;0;1499.95;58;76.2
462;03462;Wittmund;1076;1890.2;44;32;0;163.81;85;149.3
158;03158;Wolfenbüttel;2304;1926.1;25;90;0;318.1;159;132.9
103;03103;"Wolfsburg, Stadt";2970;2388;50;76;1;1451.54;248;199.4
