id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2661;2131.2;13;55;0;364.2;141;112.9
452;03452;Aurich;2991;1576.7;23;48;0;232.34;138;72.7
101;03101;"Braunschweig, Stadt";5362;2149.9;51;160;1;2782.56;291;116.7
351;03351;Celle;4027;2249.6;28;60;0;259.67;214;119.5
453;03453;Cloppenburg;9696;5680.7;54;146;1;682.65;333;195.1
352;03352;Cuxhaven;4111;2075.9;14;161;0;199.66;161;81.3
401;03401;"Delmenhorst, Stadt";2869;3699.1;26;62;0;4594.08;146;188.2
251;03251;Diepholz;5713;2631.6;82;89;0;286.94;250;115.2
402;03402;"Emden, Stadt";873;1749;9;7;0;777.11;71;142.2
454;03454;Emsland;11135;3405.7;68;161;0;386.14;475;145.3
455;03455;Friesland;1439;1457.9;18;40;0;236.08;58;58.8
151;03151;Gifhorn;5161;2923.7;75;169;0;329.26;217;122.9
153;03153;Goslar;2139;1569.4;0;107;0;221.26;115;84.4
456;03456;"Grafschaft Bentheim";4465;3255.3;21;110;0;454.78;172;125.4
159;03159;Göttingen;6780;2079.5;20;234;0;386.23;287;88
252;03252;Hameln-Pyrmont;3695;2487.4;18;92;0;463.3;157;105.7
241;03241;"Hannover, Region";41701;3603.9;240;934;0;1815.35;1708;147.6
353;03353;Harburg;5795;2277.6;32;101;0;464.18;209;82.1
358;03358;Heidekreis;2903;2063.7;33;97;0;154.3;165;117.3
154;03154;Helmstedt;2096;2295.8;13;87;0;309.99;105;115
254;03254;Hildesheim;7652;2774.3;59;267;0;633.27;279;101.2
255;03255;Holzminden;1342;1904.7;4;56;0;193.3;67;95.1
457;03457;Leer;3811;2231.8;27;49;0;351.01;243;142.3
354;03354;Lüchow-Dannenberg;652;1346.8;9;23;0;53.13;31;64
355;03355;Lüneburg;2853;1549.4;28;51;0;214.87;172;93.4
256;03256;"Nienburg (Weser)";3192;2629.5;36;141;0;227.87;130;107.1
155;03155;Northeim;1930;1459;17;40;0;152.12;83;62.7
458;03458;Oldenburg;4353;3325.7;0;110;0;408.79;116;88.6
403;03403;"Oldenburg (Oldb), Stadt";3567;2109.7;68;44;0;3460.08;192;113.6
459;03459;Osnabrück;13695;3824.6;41;281;0;645.44;424;118.4
404;03404;"Osnabrück, Stadt";6406;3876.5;39;91;0;5347.25;273;165.2
356;03356;Osterholz;2349;2061.8;16;57;1;359.91;104;91.3
157;03157;Peine;4649;3448.8;66;96;0;866.54;261;193.6
357;03357;"Rotenburg (Wümme)";3242;1979.5;0;80;0;156.26;106;64.7
102;03102;"Salzgitter, Stadt";4258;4082.8;34;62;0;1896.74;367;351.9
257;03257;Schaumburg;4013;2542.8;40;62;0;593.95;248;157.1
359;03359;Stade;4210;2058.6;59;109;0;332.18;255;124.7
360;03360;Uelzen;1974;2136.6;22;106;0;134.97;107;115.8
460;03460;Vechta;7408;5187.2;51;81;0;909.85;398;278.7
361;03361;Verden;3375;2461.1;23;50;0;427.58;151;110.1
461;03461;Wesermarsch;2899;3272.6;8;102;0;351.49;111;125.3
405;03405;"Wilhelmshaven, Stadt";1643;2159.3;5;45;0;1534.51;67;88.1
462;03462;Wittmund;1100;1932.3;10;32;0;167.46;68;119.5
158;03158;Wolfenbüttel;2354;1967.9;0;91;0;325;136;113.7
103;03103;"Wolfsburg, Stadt";3057;2458;0;77;0;1494.06;207;166.4
