id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2520;2018.3;23;55;0;344.9;87;69.7
452;03452;Aurich;2847;1500.8;37;48;1;221.15;144;75.9
101;03101;"Braunschweig, Stadt";5070;2032.8;53;152;0;2631.03;224;89.8
351;03351;Celle;3813;2130;35;58;0;245.87;192;107.3
453;03453;Cloppenburg;9342;5473.3;86;142;0;657.73;335;196.3
352;03352;Cuxhaven;3949;1994.1;32;159;0;191.8;197;99.5
401;03401;"Delmenhorst, Stadt";2724;3512.2;16;62;0;4361.89;92;118.6
251;03251;Diepholz;5415;2494.4;0;89;0;271.97;164;75.5
402;03402;"Emden, Stadt";800;1602.8;15;7;0;712.12;41;82.1
454;03454;Emsland;10611;3245.4;112;153;1;367.97;501;153.2
455;03455;Friesland;1344;1361.6;0;38;0;220.5;16;16.2
151;03151;Gifhorn;4939;2797.9;64;168;0;315.1;280;158.6
153;03153;Goslar;2024;1485;16;107;0;209.37;83;60.9
456;03456;"Grafschaft Bentheim";4293;3129.9;27;110;0;437.26;123;89.7
159;03159;Göttingen;6477;1986.6;75;226;0;368.97;230;70.5
252;03252;Hameln-Pyrmont;3535;2379.7;21;92;2;443.24;122;82.1
241;03241;"Hannover, Region";40003;3457.1;221;909;0;1741.43;1402;121.2
353;03353;Harburg;5588;2196.3;40;97;0;447.6;169;66.4
358;03358;Heidekreis;2736;1944.9;45;97;0;145.42;156;110.9
154;03154;Helmstedt;1988;2177.5;8;83;0;294.02;83;90.9
254;03254;Hildesheim;7373;2673.1;39;267;0;610.18;197;71.4
255;03255;Holzminden;1276;1811;0;56;0;183.79;33;46.8
457;03457;Leer;3568;2089.5;49;48;0;328.63;251;147
354;03354;Lüchow-Dannenberg;621;1282.7;4;23;0;50.6;33;68.2
355;03355;Lüneburg;2667;1448.4;29;44;0;200.86;136;73.9
256;03256;"Nienburg (Weser)";3062;2522.4;29;138;0;218.59;90;74.1
155;03155;Northeim;1846;1395.5;21;40;0;145.5;75;56.7
458;03458;Oldenburg;4213;3218.7;27;106;0;395.65;172;131.4
403;03403;"Oldenburg (Oldb), Stadt";3372;1994.4;64;42;0;3270.93;196;115.9
459;03459;Osnabrück;13237;3696.7;37;279;1;623.85;321;89.6
404;03404;"Osnabrück, Stadt";6108;3696.2;18;91;0;5098.5;214;129.5
356;03356;Osterholz;2238;1964.4;9;56;0;342.9;56;49.2
157;03157;Peine;4389;3255.9;36;96;1;818.08;187;138.7
357;03357;"Rotenburg (Wümme)";3100;1892.8;0;80;0;149.41;75;45.8
102;03102;"Salzgitter, Stadt";3890;3729.9;64;60;0;1732.82;254;243.5
257;03257;Schaumburg;3764;2385;9;61;0;557.09;155;98.2
359;03359;Stade;3958;1935.3;55;109;0;312.3;231;113
360;03360;Uelzen;1867;2020.8;16;105;0;127.65;119;128.8
460;03460;Vechta;7006;4905.7;94;79;0;860.48;335;234.6
361;03361;Verden;3224;2351;45;49;0;408.45;181;132
461;03461;Wesermarsch;2777;3134.9;4;96;0;336.7;103;116.3
405;03405;"Wilhelmshaven, Stadt";1565;2056.8;8;44;0;1461.66;45;59.1
462;03462;Wittmund;1032;1812.9;17;32;0;157.11;47;82.6
158;03158;Wolfenbüttel;2218;1854.2;0;89;0;306.23;129;107.8
103;03103;"Wolfsburg, Stadt";2850;2291.5;0;75;0;1392.89;225;180.9
