id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2809;2249.7;20;59;0;384.46;148;118.5
452;03452;Aurich;3095;1631.6;13;50;1;240.42;100;52.7
101;03101;"Braunschweig, Stadt";5587;2240.1;44;165;0;2899.33;221;88.6
351;03351;Celle;4185;2337.8;33;62;0;269.86;159;88.8
453;03453;Cloppenburg;10002;5860;50;148;0;704.19;282;165.2
352;03352;Cuxhaven;4260;2151.1;9;165;0;206.9;141;71.2
401;03401;"Delmenhorst, Stadt";3022;3896.4;27;62;0;4839.07;153;197.3
251;03251;Diepholz;5912;2723.3;0;89;0;296.93;194;89.4
402;03402;"Emden, Stadt";941;1885.3;7;7;0;837.64;68;136.2
454;03454;Emsland;11627;3556.2;65;172;0;403.2;443;135.5
455;03455;Friesland;1495;1514.6;7;40;0;245.27;46;46.6
151;03151;Gifhorn;5334;3021.7;40;173;0;340.3;166;94
153;03153;Goslar;2270;1665.5;0;107;0;234.81;107;78.5
456;03456;"Grafschaft Bentheim";4701;3427.3;22;113;1;478.82;236;172.1
159;03159;Göttingen;7036;2158;55;237;0;400.82;250;76.7
252;03252;Hameln-Pyrmont;3872;2606.5;22;94;0;485.49;178;119.8
241;03241;"Hannover, Region";43434;3753.6;297;947;0;1890.79;1742;150.5
353;03353;Harburg;6005;2360.2;37;104;0;481;211;82.9
358;03358;Heidekreis;3037;2158.9;28;99;0;161.42;129;91.7
154;03154;Helmstedt;2167;2373.6;7;88;0;320.49;71;77.8
254;03254;Hildesheim;7963;2887.1;51;268;0;659.01;305;110.6
255;03255;Holzminden;1395;1979.9;0;57;0;200.93;53;75.2
457;03457;Leer;3984;2333.2;19;52;0;366.95;173;101.3
354;03354;Lüchow-Dannenberg;677;1398.4;7;23;0;55.17;25;51.6
355;03355;Lüneburg;2969;1612.4;0;54;0;223.6;117;63.5
256;03256;"Nienburg (Weser)";3311;2727.6;21;143;0;236.36;120;98.9
155;03155;Northeim;2062;1558.8;26;46;0;162.52;119;90
458;03458;Oldenburg;4562;3485.4;25;108;0;428.42;145;110.8
403;03403;"Oldenburg (Oldb), Stadt";3770;2229.8;43;44;0;3657;196;115.9
459;03459;Osnabrück;14213;3969.2;38;288;1;669.85;503;140.5
404;03404;"Osnabrück, Stadt";6727;4070.8;23;93;0;5615.19;303;183.4
356;03356;Osterholz;2431;2133.8;8;58;0;372.47;79;69.3
157;03157;Peine;4872;3614.2;24;97;0;908.11;223;165.4
357;03357;"Rotenburg (Wümme)";3415;2085.1;0;80;0;164.6;123;75.1
102;03102;"Salzgitter, Stadt";4618;4428;36;65;0;2057.11;359;344.2
257;03257;Schaumburg;4222;2675.2;31;65;0;624.88;211;133.7
359;03359;Stade;4454;2177.9;50;110;0;351.43;246;120.3
360;03360;Uelzen;2044;2212.4;8;107;0;139.75;70;75.8
460;03460;Vechta;7899;5531;91;81;0;970.15;490;343.1
361;03361;Verden;3540;2581.4;22;52;0;448.48;167;121.8
461;03461;Wesermarsch;2999;3385.5;10;102;0;363.61;100;112.9
405;03405;"Wilhelmshaven, Stadt";1729;2272.3;14;46;0;1614.83;72;94.6
462;03462;Wittmund;1124;1974.5;4;32;0;171.12;24;42.2
158;03158;Wolfenbüttel;2466;2061.5;0;91;0;340.47;112;93.6
103;03103;"Wolfsburg, Stadt";3311;2662.2;0;80;0;1618.2;254;204.2
