id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2623;2100.8;41;55;0;359;141;112.9
452;03452;Aurich;2946;1553;34;48;0;228.84;146;77
101;03101;"Braunschweig, Stadt";5252;2105.8;65;159;0;2725.48;280;112.3
351;03351;Celle;3945;2203.8;38;60;0;254.38;241;134.6
453;03453;Cloppenburg;9590;5618.6;88;145;1;675.19;362;212.1
352;03352;Cuxhaven;4052;2046.1;20;161;0;196.8;170;85.8
401;03401;"Delmenhorst, Stadt";2813;3626.9;37;62;0;4504.4;125;161.2
251;03251;Diepholz;5631;2593.9;43;89;0;282.82;244;112.4
402;03402;"Emden, Stadt";862;1727;18;7;0;767.31;80;160.3
454;03454;Emsland;10990;3361.3;90;161;1;381.11;503;153.8
455;03455;Friesland;1410;1428.5;6;40;0;231.33;59;59.8
151;03151;Gifhorn;5087;2881.8;33;169;0;324.54;258;146.2
153;03153;Goslar;2121;1556.2;31;107;0;219.4;124;91
456;03456;"Grafschaft Bentheim";4402;3209.3;34;110;0;448.36;164;119.6
159;03159;Göttingen;6702;2055.6;66;234;2;381.79;301;92.3
252;03252;Hameln-Pyrmont;3640;2450.4;27;92;0;456.4;154;103.7
241;03241;"Hannover, Region";41175;3558.4;257;933;1;1792.45;1571;135.8
353;03353;Harburg;5723;2249.3;39;101;1;458.41;200;78.6
358;03358;Heidekreis;2829;2011;30;97;0;150.36;142;100.9
154;03154;Helmstedt;2070;2267.3;23;87;0;306.15;100;109.5
254;03254;Hildesheim;7539;2733.3;41;267;0;623.92;238;86.3
255;03255;Holzminden;1330;1887.6;11;56;0;191.57;60;85.2
457;03457;Leer;3752;2197.3;62;49;0;345.58;265;155.2
354;03354;Lüchow-Dannenberg;643;1328.2;3;23;0;52.4;32;66.1
355;03355;Lüneburg;2795;1517.9;33;51;0;210.5;167;90.7
256;03256;"Nienburg (Weser)";3144;2590;29;141;0;224.44;131;107.9
155;03155;Northeim;1894;1431.8;12;40;0;149.28;76;57.5
458;03458;Oldenburg;4330;3308.1;16;110;0;406.63;146;111.5
403;03403;"Oldenburg (Oldb), Stadt";3478;2057.1;26;43;0;3373.75;196;115.9
459;03459;Osnabrück;13559;3786.6;79;280;0;639.03;427;119.2
404;03404;"Osnabrück, Stadt";6317;3822.7;52;91;0;5272.95;263;159.2
356;03356;Osterholz;2312;2029.4;20;56;0;354.24;88;77.2
157;03157;Peine;4549;3374.6;44;96;0;847.9;251;186.2
357;03357;"Rotenburg (Wümme)";3226;1969.7;61;80;0;155.49;119;72.7
102;03102;"Salzgitter, Stadt";4166;3994.6;69;62;0;1855.76;385;369.2
257;03257;Schaumburg;3936;2494;69;62;0;582.55;218;138.1
359;03359;Stade;4110;2009.7;41;109;0;324.29;216;105.6
360;03360;Uelzen;1932;2091.2;20;106;0;132.09;117;126.6
460;03460;Vechta;7281;5098.2;70;81;0;894.25;465;325.6
361;03361;Verden;3333;2430.5;30;50;1;422.26;173;126.2
461;03461;Wesermarsch;2881;3252.3;22;101;1;349.31;139;156.9
405;03405;"Wilhelmshaven, Stadt";1611;2117.3;5;45;0;1504.62;54;71
462;03462;Wittmund;1079;1895.4;3;32;0;164.27;76;133.5
158;03158;Wolfenbüttel;2332;1949.5;28;90;0;321.97;146;122.1
103;03103;"Wolfsburg, Stadt";3021;2429;51;77;1;1476.47;229;184.1
