id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2399;1921.4;20;53;0;328.34;121;96.9
452;03452;Aurich;2643;1393.3;56;46;0;205.31;156;82.2
101;03101;"Braunschweig, Stadt";4776;1914.9;41;145;1;2478.46;255;102.2
351;03351;Celle;3546;1980.9;48;55;0;228.65;212;118.4
453;03453;Cloppenburg;8865;5193.9;107;138;0;624.14;376;220.3
352;03352;Cuxhaven;3722;1879.4;42;156;0;180.77;164;82.8
401;03401;"Delmenhorst, Stadt";2610;3365.2;16;60;0;4179.34;113;145.7
251;03251;Diepholz;5171;2382;-3;89;0;259.72;162;74.6
402;03402;"Emden, Stadt";742;1486.6;9;7;0;660.49;40;80.1
454;03454;Emsland;9939;3039.9;151;151;0;344.67;542;165.8
455;03455;Friesland;1308;1325.2;12;37;1;214.59;54;54.7
151;03151;Gifhorn;4586;2598;51;167;0;292.58;324;183.5
153;03153;Goslar;1927;1413.9;14;106;0;199.33;78;57.2
456;03456;"Grafschaft Bentheim";4138;3016.9;13;110;2;421.48;95;69.3
159;03159;Göttingen;6189;1898.2;28;219;0;352.57;257;78.8
252;03252;Hameln-Pyrmont;3394;2284.8;15;88;0;425.56;126;84.8
241;03241;"Hannover, Region";38306;3310.5;327;888;1;1667.56;1637;141.5
353;03353;Harburg;5375;2112.6;44;95;1;430.53;247;97.1
358;03358;Heidekreis;2540;1805.6;21;96;1;135;102;72.5
154;03154;Helmstedt;1894;2074.5;15;83;0;280.12;99;108.4
254;03254;Hildesheim;7122;2582.1;182;251;-1;589.41;264;95.7
255;03255;Holzminden;1224;1737.2;1;56;0;176.3;45;63.9
457;03457;Leer;3275;1917.9;66;47;0;301.64;284;166.3
354;03354;Lüchow-Dannenberg;583;1204.2;5;23;2;47.51;27;55.8
355;03355;Lüneburg;2486;1350.1;43;44;1;187.23;142;77.1
256;03256;"Nienburg (Weser)";2940;2421.9;19;138;0;209.88;77;63.4
155;03155;Northeim;1755;1326.7;10;38;0;138.32;49;37
458;03458;Oldenburg;3978;3039.2;35;104;0;373.58;220;168.1
403;03403;"Oldenburg (Oldb), Stadt";3144;1859.5;28;40;0;3049.76;148;87.5
459;03459;Osnabrück;12777;3568.2;67;273;3;602.17;435;121.5
404;03404;"Osnabrück, Stadt";5834;3530.4;43;89;1;4869.78;260;157.3
356;03356;Osterholz;2169;1903.8;16;54;0;332.33;71;62.3
157;03157;Peine;4171;3094.2;45;94;1;777.45;244;181
357;03357;"Rotenburg (Wümme)";2977;1817.7;35;77;0;143.49;133;81.2
102;03102;"Salzgitter, Stadt";3570;3423.1;40;57;0;1590.27;288;276.2
257;03257;Schaumburg;3567;2260.2;28;55;0;527.94;204;129.3
359;03359;Stade;3668;1793.5;27;107;0;289.42;150;73.3
360;03360;Uelzen;1714;1855.2;8;104;1;117.19;100;108.2
460;03460;Vechta;6612;4629.8;67;80;2;812.09;249;174.4
361;03361;Verden;3019;2201.5;33;48;0;382.48;121;88.2
461;03461;Wesermarsch;2630;2969;0;95;0;318.87;131;147.9
405;03405;"Wilhelmshaven, Stadt";1488;1955.6;0;42;0;1389.75;41;53.9
462;03462;Wittmund;966;1696.9;14;31;0;147.06;42;73.8
158;03158;Wolfenbüttel;2063;1724.6;31;87;0;284.83;135;112.9
103;03103;"Wolfsburg, Stadt";2562;2060;0;73;0;1252.14;183;147.1
