id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2716;2175.3;21;58;1;371.73;134;107.3
452;03452;Aurich;3029;1596.8;21;49;0;235.29;99;52.2
101;03101;"Braunschweig, Stadt";5474;2194.8;52;160;0;2840.69;277;111.1
351;03351;Celle;4077;2277.5;30;61;0;262.89;170;95
453;03453;Cloppenburg;9775;5727;0;146;0;688.21;215;126
352;03352;Cuxhaven;4186;2113.7;42;163;0;203.31;152;76.8
401;03401;"Delmenhorst, Stadt";2940;3790.7;39;62;0;4707.77;164;211.5
251;03251;Diepholz;5841;2690.6;34;89;0;293.37;246;113.3
402;03402;"Emden, Stadt";909;1821.2;28;7;0;809.15;65;130.2
454;03454;Emsland;11376;3479.4;96;169;0;394.5;418;127.8
455;03455;Friesland;1482;1501.5;11;40;0;243.14;62;62.8
151;03151;Gifhorn;5230;2962.8;18;172;0;333.66;170;96.3
153;03153;Goslar;2217;1626.7;13;107;0;229.33;123;90.2
456;03456;"Grafschaft Bentheim";4599;3353;49;112;0;468.43;231;168.4
159;03159;Göttingen;6926;2124.3;65;235;1;394.55;278;85.3
252;03252;Hameln-Pyrmont;3819;2570.9;48;94;0;478.85;203;136.7
241;03241;"Hannover, Region";42617;3683;332;944;5;1855.23;1826;157.8
353;03353;Harburg;5891;2315.4;44;103;0;471.87;208;81.8
358;03358;Heidekreis;2951;2097.8;26;99;1;156.85;128;91
154;03154;Helmstedt;2141;2345.1;19;88;0;316.65;94;103
254;03254;Hildesheim;7811;2832;59;268;1;646.43;309;112
255;03255;Holzminden;1376;1952.9;8;57;0;198.19;58;82.3
457;03457;Leer;3872;2267.6;23;49;0;356.63;182;106.6
354;03354;Lüchow-Dannenberg;663;1369.5;7;23;0;54.03;23;47.5
355;03355;Lüneburg;2916;1583.6;27;53;0;219.61;128;69.5
256;03256;"Nienburg (Weser)";3256;2682.3;26;143;0;232.44;141;116.2
155;03155;Northeim;1996;1508.9;25;40;0;157.32;103;77.9
458;03458;Oldenburg;4493;3432.7;61;108;0;421.94;148;113.1
403;03403;"Oldenburg (Oldb), Stadt";3678;2175.3;75;44;0;3567.76;212;125.4
459;03459;Osnabrück;13987;3906.1;99;286;2;659.2;501;139.9
404;03404;"Osnabrück, Stadt";6581;3982.4;64;92;1;5493.32;314;190
356;03356;Osterholz;2402;2108.3;24;58;0;368.03;105;92.2
157;03157;Peine;4764;3534.1;103;97;1;887.98;259;192.1
357;03357;"Rotenburg (Wümme)";3382;2064.9;46;80;0;163.01;179;109.3
102;03102;"Salzgitter, Stadt";4454;4270.7;81;63;1;1984.05;357;342.3
257;03257;Schaumburg;4126;2614.4;41;64;0;610.67;260;164.7
359;03359;Stade;4335;2119.7;50;109;0;342.04;234;114.4
360;03360;Uelzen;2014;2179.9;15;107;0;137.7;102;110.4
460;03460;Vechta;7649;5355.9;114;81;0;939.45;436;305.3
361;03361;Verden;3444;2511.4;35;51;1;436.32;144;105
461;03461;Wesermarsch;2956;3337;43;102;0;358.4;96;108.4
405;03405;"Wilhelmshaven, Stadt";1689;2219.8;24;46;0;1577.47;47;61.8
462;03462;Wittmund;1100;1932.3;0;32;0;167.46;24;42.2
158;03158;Wolfenbüttel;2445;2043.9;11;91;0;337.57;141;117.9
103;03103;"Wolfsburg, Stadt";3234;2600.3;50;79;0;1580.57;266;213.9
