id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2438;1952.6;5;53;0;333.68;104;83.3
452;03452;Aurich;2702;1424.4;26;46;0;209.89;169;89.1
101;03101;"Braunschweig, Stadt";4851;1945;9;145;0;2517.38;222;89
351;03351;Celle;3621;2022.8;1;55;0;233.49;214;119.5
453;03453;Cloppenburg;8986;5264.8;0;138;0;632.66;349;204.5
352;03352;Cuxhaven;3760;1898.6;6;156;0;182.62;138;69.7
401;03401;"Delmenhorst, Stadt";2646;3411.6;15;61;1;4236.99;102;131.5
251;03251;Diepholz;5215;2402.2;1;89;0;261.93;147;67.7
402;03402;"Emden, Stadt";759;1520.6;0;7;0;675.63;38;76.1
454;03454;Emsland;10122;3095.8;60;151;0;351.01;526;160.9
455;03455;Friesland;1330;1347.5;3;37;0;218.2;51;51.7
151;03151;Gifhorn;4666;2643.3;10;167;0;297.68;253;143.3
153;03153;Goslar;1938;1421.9;0;106;0;200.47;65;47.7
456;03456;"Grafschaft Bentheim";4175;3043.8;5;110;0;425.24;85;62
159;03159;Göttingen;6274;1924.3;31;220;0;357.41;242;74.2
252;03252;Hameln-Pyrmont;3423;2304.3;9;89;1;429.19;109;73.4
241;03241;"Hannover, Region";38750;3348.8;138;888;0;1686.89;1474;127.4
353;03353;Harburg;5431;2134.6;4;95;0;435.02;187;73.5
358;03358;Heidekreis;2580;1834;6;96;0;137.13;108;76.8
154;03154;Helmstedt;1906;2087.7;0;83;0;281.89;84;92
254;03254;Hildesheim;7187;2605.7;11;254;0;594.79;210;76.1
255;03255;Holzminden;1245;1767;2;56;0;179.33;50;71
457;03457;Leer;3356;1965.4;39;48;0;309.1;262;153.4
354;03354;Lüchow-Dannenberg;588;1214.6;0;23;0;47.92;20;41.3
355;03355;Lüneburg;2533;1375.6;14;44;0;190.77;154;83.6
256;03256;"Nienburg (Weser)";2976;2451.6;4;138;0;212.45;92;75.8
155;03155;Northeim;1766;1335;0;38;0;139.19;45;34
458;03458;Oldenburg;4010;3063.6;7;104;0;376.58;155;118.4
403;03403;"Oldenburg (Oldb), Stadt";3182;1882;7;42;1;3086.62;125;73.9
459;03459;Osnabrück;12941;3614;56;273;0;609.9;401;112
404;03404;"Osnabrück, Stadt";5897;3568.5;17;89;0;4922.37;198;119.8
356;03356;Osterholz;2184;1917;0;54;0;334.63;64;56.2
157;03157;Peine;4210;3123.1;2;94;0;784.72;199;147.6
357;03357;"Rotenburg (Wümme)";3014;1840.3;0;78;0;145.27;123;75.1
102;03102;"Salzgitter, Stadt";3654;3503.7;18;57;0;1627.69;267;256
257;03257;Schaumburg;3628;2298.8;19;55;0;536.96;179;113.4
359;03359;Stade;3726;1821.9;0;107;0;293.99;162;79.2
360;03360;Uelzen;1750;1894.2;2;104;0;119.65;91;98.5
460;03460;Vechta;6700;4691.4;29;80;0;822.89;246;172.3
361;03361;Verden;3045;2220.5;2;48;0;385.77;102;74.4
461;03461;Wesermarsch;2674;3018.6;3;95;0;324.21;85;96
405;03405;"Wilhelmshaven, Stadt";1513;1988.5;4;43;0;1413.09;50;65.7
462;03462;Wittmund;984;1728.6;0;32;0;149.8;45;79
158;03158;Wolfenbüttel;2109;1763.1;19;87;0;291.18;159;132.9
103;03103;"Wolfsburg, Stadt";2626;2111.4;0;73;0;1283.42;202;162.4
