id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2789;2233.7;25;59;1;381.72;141;112.9
452;03452;Aurich;3082;1624.7;22;49;0;239.41;103;54.3
101;03101;"Braunschweig, Stadt";5543;2222.5;43;165;0;2876.49;222;89
351;03351;Celle;4152;2319.4;25;62;1;267.73;152;84.9
453;03453;Cloppenburg;9952;5830.7;35;148;1;700.67;297;174
352;03352;Cuxhaven;4251;2146.6;26;165;1;206.46;151;76.2
401;03401;"Delmenhorst, Stadt";2995;3861.6;21;62;0;4795.84;152;196
251;03251;Diepholz;5912;2723.3;15;89;0;296.93;228;105
402;03402;"Emden, Stadt";934;1871.3;9;7;0;831.4;69;138.2
454;03454;Emsland;11562;3536.3;86;172;3;400.95;433;132.4
455;03455;Friesland;1488;1507.5;4;40;0;244.12;49;49.6
151;03151;Gifhorn;5294;2999;40;173;1;337.75;162;91.8
153;03153;Goslar;2270;1665.5;24;107;0;234.81;105;77
456;03456;"Grafschaft Bentheim";4679;3411.3;41;112;0;476.58;235;171.3
159;03159;Göttingen;6981;2141.1;28;237;1;397.68;220;67.5
252;03252;Hameln-Pyrmont;3850;2591.7;13;94;0;482.73;174;117.1
241;03241;"Hannover, Region";43137;3728;230;947;2;1877.86;1686;145.7
353;03353;Harburg;5968;2345.6;44;104;1;478.03;206;81
358;03358;Heidekreis;3009;2139;24;99;0;159.93;115;81.7
154;03154;Helmstedt;2160;2365.9;13;88;0;319.46;76;83.2
254;03254;Hildesheim;7912;2868.6;41;268;0;654.79;320;116
255;03255;Holzminden;1395;1979.9;19;57;0;200.93;57;80.9
457;03457;Leer;3965;2322;25;52;2;365.2;181;106
354;03354;Lüchow-Dannenberg;670;1384;2;23;0;54.6;27;55.8
355;03355;Lüneburg;2969;1612.4;26;54;0;223.6;121;65.7
256;03256;"Nienburg (Weser)";3290;2710.3;13;143;0;234.86;134;110.4
155;03155;Northeim;2036;1539.1;12;46;6;160.47;102;77.1
458;03458;Oldenburg;4537;3466.3;25;108;0;426.07;155;118.4
403;03403;"Oldenburg (Oldb), Stadt";3727;2204.3;21;44;0;3615.29;175;103.5
459;03459;Osnabrück;14175;3958.6;70;287;1;668.06;508;141.9
404;03404;"Osnabrück, Stadt";6704;4056.9;55;93;1;5595.99;330;199.7
356;03356;Osterholz;2423;2126.8;8;58;0;371.24;88;77.2
157;03157;Peine;4848;3596.4;35;97;0;903.63;265;196.6
357;03357;"Rotenburg (Wümme)";3415;2085.1;4;80;0;164.6;144;87.9
102;03102;"Salzgitter, Stadt";4582;4393.5;77;65;0;2041.07;358;343.3
257;03257;Schaumburg;4191;2655.6;25;65;0;620.29;217;137.5
359;03359;Stade;4404;2153.4;28;110;1;347.49;208;101.7
360;03360;Uelzen;2036;2203.7;10;107;0;139.21;84;90.9
460;03460;Vechta;7808;5467.3;64;81;0;958.98;451;315.8
361;03361;Verden;3518;2565.4;37;52;0;445.69;168;122.5
461;03461;Wesermarsch;2989;3374.2;18;102;0;362.4;98;110.6
405;03405;"Wilhelmshaven, Stadt";1715;2253.9;16;46;0;1601.76;62;81.5
462;03462;Wittmund;1120;1967.5;3;32;0;170.51;27;47.4
158;03158;Wolfenbüttel;2466;2061.5;4;91;0;340.47;112;93.6
103;03103;"Wolfsburg, Stadt";3311;2662.2;30;80;1;1618.2;254;204.2
