id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2764;2213.7;48;58;0;378.3;141;112.9
452;03452;Aurich;3060;1613.1;31;49;0;237.7;94;49.6
101;03101;"Braunschweig, Stadt";5500;2205.2;26;165;5;2854.18;239;95.8
351;03351;Celle;4127;2305.4;50;61;0;266.12;182;101.7
453;03453;Cloppenburg;9917;5810.2;142;147;1;698.21;308;180.5
352;03352;Cuxhaven;4225;2133.4;39;164;1;205.2;169;85.3
401;03401;"Delmenhorst, Stadt";2974;3834.5;34;62;0;4762.21;161;207.6
251;03251;Diepholz;5897;2716.4;56;89;0;296.18;257;118.4
402;03402;"Emden, Stadt";925;1853.2;16;7;0;823.39;61;122.2
454;03454;Emsland;11476;3510;100;169;0;397.97;441;134.9
455;03455;Friesland;1484;1503.5;2;40;0;243.47;50;50.7
151;03151;Gifhorn;5254;2976.4;24;172;0;335.19;160;90.6
153;03153;Goslar;2246;1647.9;29;107;0;232.33;122;89.5
456;03456;"Grafschaft Bentheim";4638;3381.4;39;112;0;472.4;237;172.8
159;03159;Göttingen;6953;2132.6;27;236;1;396.09;239;73.3
252;03252;Hameln-Pyrmont;3837;2583;18;94;0;481.1;194;130.6
241;03241;"Hannover, Region";42907;3708.1;290;945;1;1867.85;1653;142.9
353;03353;Harburg;5924;2328.3;33;103;0;474.51;202;79.4
358;03358;Heidekreis;2985;2121.9;34;99;0;158.65;125;88.9
154;03154;Helmstedt;2147;2351.7;6;88;0;317.53;80;87.6
254;03254;Hildesheim;7871;2853.7;60;268;0;651.39;332;120.4
255;03255;Holzminden;1376;1952.9;0;57;0;198.19;52;73.8
457;03457;Leer;3940;2307.4;68;50;1;362.89;188;110.1
354;03354;Lüchow-Dannenberg;668;1379.8;5;23;0;54.43;25;51.6
355;03355;Lüneburg;2943;1598.2;27;54;1;221.64;137;74.4
256;03256;"Nienburg (Weser)";3277;2699.6;21;143;0;233.93;133;109.6
155;03155;Northeim;2024;1530;28;40;0;159.53;106;80.1
458;03458;Oldenburg;4512;3447.2;19;108;0;423.73;139;106.2
403;03403;"Oldenburg (Oldb), Stadt";3706;2191.9;28;44;0;3594.92;222;131.3
459;03459;Osnabrück;14105;3939.1;118;286;0;664.76;526;146.9
404;03404;"Osnabrück, Stadt";6649;4023.6;68;92;0;5550.08;318;192.4
356;03356;Osterholz;2415;2119.8;13;58;0;370.02;96;84.3
157;03157;Peine;4813;3570.4;49;97;0;897.11;264;195.8
357;03357;"Rotenburg (Wümme)";3411;2082.6;29;80;0;164.4;180;109.9
102;03102;"Salzgitter, Stadt";4505;4319.6;51;65;2;2006.77;339;325.1
257;03257;Schaumburg;4166;2639.7;40;65;1;616.59;230;145.7
359;03359;Stade;4376;2139.7;41;109;0;345.28;236;115.4
360;03360;Uelzen;2026;2192.9;12;107;0;138.52;93;100.7
460;03460;Vechta;7744;5422.4;95;81;0;951.12;463;324.2
361;03361;Verden;3481;2538.4;37;52;1;441.01;150;109.4
461;03461;Wesermarsch;2971;3353.9;15;102;0;360.22;91;102.7
405;03405;"Wilhelmshaven, Stadt";1699;2232.9;10;46;0;1586.81;53;69.7
462;03462;Wittmund;1117;1962.2;17;32;0;170.05;38;66.8
158;03158;Wolfenbüttel;2462;2058.1;17;91;0;339.91;128;107
103;03103;"Wolfsburg, Stadt";3281;2638.1;47;79;0;1603.54;262;210.7
