id;GKZ;Landkreis;"bestätigte Fälle";"Fälle pro 100.000 Einwohner";"Änderung zum Vortag";"verstorbene Fälle";"verstorbene Fälle Änderung zum Vortag";"Fälle pro Fläche (pro 100 km²)";"Fälle vergangene 7 Tage";"Fälle vergangene 7 Tage pro 100.000 Einwohner"
451;03451;Ammerland;2561;2051.1;9;55;0;350.51;121;96.9
452;03452;Aurich;2876;1516.1;24;48;0;223.4;162;85.4
101;03101;"Braunschweig, Stadt";5132;2057.7;38;157;2;2663.21;250;100.2
351;03351;Celle;3862;2157.4;31;59;0;249.03;211;117.9
453;03453;Cloppenburg;9426;5522.6;28;143;1;663.64;356;208.6
352;03352;Cuxhaven;3993;2016.3;28;161;2;193.93;196;99
401;03401;"Delmenhorst, Stadt";2742;3535.4;8;62;0;4390.71;86;110.9
251;03251;Diepholz;5533;2548.7;29;89;0;277.9;245;112.9
402;03402;"Emden, Stadt";828;1658.9;23;7;0;737.05;69;138.2
454;03454;Emsland;10777;3296.2;92;159;3;373.73;526;160.9
455;03455;Friesland;1396;1414.3;7;40;1;229.03;59;59.8
151;03151;Gifhorn;5011;2838.7;66;168;0;319.69;329;186.4
153;03153;Goslar;2074;1521.7;46;107;0;214.54;112;82.2
456;03456;"Grafschaft Bentheim";4345;3167.8;24;110;0;442.56;160;116.7
159;03159;Göttingen;6584;2019.4;56;229;1;375.07;267;81.9
252;03252;Hameln-Pyrmont;3586;2414;28;92;0;449.63;142;95.6
241;03241;"Hannover, Region";40534;3503;335;931;7;1764.55;1596;137.9
353;03353;Harburg;5630;2212.8;34;98;0;450.96;185;72.7
358;03358;Heidekreis;2762;1963.4;14;97;0;146.8;150;106.6
154;03154;Helmstedt;2027;2220.2;29;87;3;299.79;98;107.3
254;03254;Hildesheim;7436;2696;37;267;0;615.39;201;72.9
255;03255;Holzminden;1298;1842.2;10;56;0;186.96;43;61
457;03457;Leer;3633;2127.6;56;48;0;334.62;250;146.4
354;03354;Lüchow-Dannenberg;634;1309.6;14;23;0;51.66;46;95
355;03355;Lüneburg;2722;1478.2;40;48;4;205;178;96.7
256;03256;"Nienburg (Weser)";3082;2538.9;17;141;3;220.01;105;86.5
155;03155;Northeim;1864;1409.1;15;40;0;146.92;79;59.7
458;03458;Oldenburg;4278;3268.4;43;108;2;401.75;179;136.8
403;03403;"Oldenburg (Oldb), Stadt";3403;2012.7;23;42;0;3301;189;111.8
459;03459;Osnabrück;13380;3736.6;54;280;1;630.59;352;98.3
404;03404;"Osnabrück, Stadt";6208;3756.7;33;91;0;5181.97;240;145.2
356;03356;Osterholz;2267;1989.9;15;56;0;347.34;74;65
157;03157;Peine;4454;3304.1;63;96;0;830.2;242;179.5
357;03357;"Rotenburg (Wümme)";3165;1932.4;18;80;0;152.55;112;68.4
102;03102;"Salzgitter, Stadt";4031;3865.1;86;62;2;1795.63;339;325.1
257;03257;Schaumburg;3830;2426.8;28;61;0;566.86;188;119.1
359;03359;Stade;4015;1963.2;52;109;0;316.8;249;121.8
360;03360;Uelzen;1879;2033.8;11;106;0;128.47;126;136.4
460;03460;Vechta;7096;4968.7;73;80;0;871.53;372;260.5
361;03361;Verden;3260;2377.3;31;49;0;413.01;190;138.6
461;03461;Wesermarsch;2834;3199.3;44;96;0;343.61;147;165.9
405;03405;"Wilhelmshaven, Stadt";1583;2080.5;14;45;0;1478.47;51;67
462;03462;Wittmund;1032;1812.9;0;32;0;157.11;45;79
158;03158;Wolfenbüttel;2279;1905.2;33;90;1;314.65;128;107
103;03103;"Wolfsburg, Stadt";2920;2347.8;28;75;0;1427.11;247;198.6
